trialIndex,numUnstable,numNM1,numNM2,matchingAM,matchingGM,unstableAM,unstableGM,unstableRAM,nm1AM,nm1GM,nm1RAM,nm2GenAM,nm2GenGM,nm2GenRAM,nm2AM,nm2GM,nm2RAM,numEdges,numSingletons,numChains,numCycles,avgChainLen,avgCycleLen,converges
66729,4,2,1,"[0.0, 0.5, 0.5, 1.5, 1.5, 2.0, 2.5, 3.5, 4.5, 8.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.7320508, 2.4494898, 3.1622777, 4.472136, 7.937254]","[1.5, 2.5, 2.5, 5.0]","[0.0, 0.0, 2.0, 4.0]","[-3.5, -2.5, -2.5, -2.0]","[1.5, 2.5]","[0.0, 2.0]","[-3.5, -2.5]","[1.0, 1.5]","[0.0, 1.4142135]","[-3.5, -2.5]",[7.0],[6.928203],[6.5],1,0,1,0,1.0,0.0,0
804,3,2,0,"[0.0, 0.0, 0.5, 1.0, 1.0, 2.0, 3.5, 5.0, 5.5, 5.5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 4.8989797, 4.8989797, 5.477226]","[2.5, 3.0, 4.0]","[2.236068, 2.4494898, 4.0]","[-4.0, -3.0, -1.5]","[2.5, 4.0]","[2.4494898, 4.0]","[-3.0, -1.5]","[2.5, 4.0]","[2.4494898, 4.0]","[-3.0, -1.5]",[],[],[],2,0,0,1,0.0,2.0,1
49,1,1,1,"[0.0, 0.5, 0.5, 1.0, 1.5, 2.5, 4.5, 4.5, 4.5, 5.5]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.828427, 3.7416575, 4.2426405]",[3.5],[2.4494898],[-1.0],[3.5],[2.4494898],[-1.0],[5.0],[4.582576],[-0.5],[5.0],[4.582576],[-0.5],0,1,0,0,0.0,0.0,1
44,3,2,1,"[0.5, 0.5, 1.0, 2.0, 2.5, 2.5, 3.0, 3.0, 4.0, 7.5]","[0.0, 0.0, 0.0, 0.0, 0.0, 2.236068, 2.4494898, 2.4494898, 3.4641016, 7.483315]","[1.0, 4.0, 4.0]","[0.0, 2.6457512, 3.8729835]","[-3.5, -2.5, -1.5]","[1.0, 4.0]","[0.0, 3.8729835]","[-3.5, -2.5]","[6.0, 6.5]","[5.91608, 6.3245554]","[1.5, 2.5]",[1.5],[1.4142135],[0.5],1,0,1,0,1.0,0.0,1
16,1,1,1,"[0.5, 0.5, 0.5, 1.5, 2.0, 2.0, 2.5, 3.5, 4.5, 5.0]","[0.0, 0.0, 0.0, 0.0, 1.4142135, 1.7320508, 2.0, 3.4641016, 3.7416575, 4.8989797]",[2.0],[0.0],[-4.5],[2.0],[0.0],[-4.5],[3.5],[0.0],[0.5],[3.5],[0.0],[0.5],0,1,0,0,0.0,0.0,1
697,1,1,1,"[0.0, 0.5, 1.0, 1.0, 1.5, 2.0, 2.0, 2.5, 4.5, 5.0]","[0.0, 0.0, 0.0, 0.0, 1.4142135, 2.0, 2.0, 2.0, 3.7416575, 4.8989797]",[3.5],[2.4494898],[-3.0],[3.5],[2.4494898],[-3.0],[7.5],[7.483315],[4.5],[7.5],[7.483315],[4.5],0,1,0,0,0.0,0.0,1
13806,2,1,1,"[0.0, 0.5, 0.5, 1.5, 2.0, 2.0, 2.0, 3.0, 3.5, 4.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4142135, 3.0]","[3.5, 4.5]","[3.4641016, 4.2426405]","[-2.5, -1.5]",[3.5],[3.4641016],[-2.5],[5.5],[4.8989797],[5.5],[5.5],[4.8989797],[5.5],0,1,0,0,0.0,0.0,0
243,2,1,1,"[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.0, 4.0, 5.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.4142135, 1.7320508, 2.4494898, 3.0, 4.0]","[4.5, 4.5]","[3.7416575, 4.472136]","[-3.5, -1.0]",[4.5],[4.472136],[-3.5],[4.0],[3.8729835],[3.0],[4.0],[3.8729835],[3.0],0,1,0,0,0.0,0.0,1
427,1,1,1,"[0.0, 0.0, 1.0, 1.5, 2.0, 2.5, 3.0, 3.0, 3.0, 4.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.7320508, 2.236068, 2.236068, 2.4494898, 3.0]",[2.0],[2.0],[-3.5],[2.0],[2.0],[-3.5],[1.5],[0.0],[0.5],[1.5],[0.0],[0.5],0,1,0,0,0.0,0.0,1
97433,4,2,1,"[0.0, 1.0, 1.0, 2.5, 2.5, 2.5, 2.5, 3.0, 3.5, 7.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.4494898, 2.828427, 3.4641016, 6.928203]","[1.5, 2.5, 2.5, 2.5]","[0.0, 1.4142135, 2.0, 2.4494898]","[-3.5, -3.0, -3.0, -2.5]","[1.5, 2.5]","[0.0, 1.4142135]","[-3.5, -3.0]","[2.0, 3.0]","[1.7320508, 2.236068]","[-3.0, -1.5]",[6.5],[6.4807405],[4.0],1,0,1,0,1.0,0.0,0
